Months,L,M,S,p3,p10,p25,p50,p75,p85,p97
0,-0.0631,13.3363,0.09272,11.21278831,11.84738816,12.52935163,13.3363,14.19872328,14.68578894,15.89243778
0.032854209,0.0362,13.3185,0.0936,11.16237151,11.80991728,12.50276168,13.3185,14.18541403,14.67278285,15.87328908
0.065708419,0.1355,13.3006,0.09448,11.11102097,11.77200082,12.4759979,13.3006,14.17190355,14.65948293,15.85366907
0.098562628,0.2347,13.2828,0.09535,11.05909199,11.73396387,12.4493331,13.2828,14.15831409,14.64597052,15.83356823
0.131416837,0.334,13.2649,0.09623,11.00589798,11.69528665,12.42240162,13.2649,14.1446161,14.632312,15.81329012
0.164271048,0.4333,13.247,0.09711,10.95169889,11.65620199,12.39538181,13.247,14.13082466,14.61847702,15.79270011
0.197125257,0.5326,13.2292,0.09799,10.89651663,11.61677877,12.36836413,13.2292,14.11704699,14.60457847,15.77193018
0.229979466,0.6319,13.2113,0.09887,10.84012065,11.57682111,12.34115841,13.2113,14.10307023,14.59039812,15.75075429
0.262833676,0.6142,13.2455,0.09866,10.8769474,11.61201768,12.37544869,13.2455,14.13818182,14.62642423,15.79010245
0.295687885,0.5965,13.2796,0.09845,10.91368781,11.64713289,12.40965257,13.2796,14.17317587,14.66232339,15.82930642
0.328542094,0.5789,13.3137,0.09824,10.9504024,11.68224418,12.44386056,13.3137,14.20815614,14.6981989,15.86846155
0.361396304,0.5612,13.3478,0.09804,10.98690443,11.71721052,12.47799102,13.3478,14.24322118,14.73420927,15.90788597
0.394250513,0.5435,13.3819,0.09783,11.02363335,11.7523447,12.51221573,13.3819,14.27818306,14.77005907,15.94701511
0.427104722,0.5258,13.416,0.09762,11.06035872,11.78748526,12.54644742,13.416,14.31313406,14.80589207,15.98611837
0.459958933,0.5082,13.4501,0.09741,11.09705951,11.82262216,12.58068324,13.4501,14.34807117,14.84170114,16.02517162
0.492813142,0.4947,13.5169,0.09726,11.15850612,11.88513609,12.64487268,13.5169,14.41832038,14.91416465,16.10383849
0.525667351,0.482,13.5873,0.09711,11.22279351,11.95076253,12.7124217,13.5873,14.49237358,14.99052648,16.18658249
0.558521561,0.4699,13.6595,0.09697,11.28824939,12.0177772,12.78156398,13.6595,14.56841123,15.06896259,16.2715858
0.59137577,0.4583,13.7325,0.09684,11.35406814,12.0853094,12.85136584,13.7325,14.64537101,15.1483789,16.357685
0.624229979,0.4472,13.8056,0.09671,11.419903,12.15290624,12.92126084,13.8056,14.72241132,15.22785442,16.44376429
0.657084189,0.4365,13.8784,0.09659,11.48520942,12.2200599,12.99078717,13.8784,14.79920551,15.30710672,16.52965786
0.689938398,0.4263,13.9505,0.09647,11.54986751,12.28657181,13.05965668,13.9505,14.87522802,15.38553693,16.61457899
0.722792607,0.4164,14.0216,0.09636,11.61343388,12.35203032,13.12750294,14.0216,14.95026319,15.46298237,16.69851034
0.755646818,0.4069,14.0916,0.09625,11.67603789,12.41650199,13.19431927,14.0916,15.02410436,15.53917334,16.78101871
0.788501027,0.3977,14.1603,0.09615,11.73729574,12.47965163,13.2598291,14.1603,15.09664067,15.61405219,16.86218555
0.821355236,0.3888,14.2276,0.09605,11.79735934,12.54155709,13.32402938,14.2276,15.16766742,15.68735473,16.94159876
0.854209446,0.3802,14.2935,0.09595,11.85622723,12.60221743,13.38691971,14.2935,15.23718471,15.75908096,17.0192574
0.887063655,0.3718,14.3579,0.09586,11.91359603,12.66138369,13.44831598,14.3579,15.30518998,15.82928629,17.09536833
0.919917864,0.3637,14.4208,0.09577,11.96968173,12.71921363,13.50830708,14.4208,15.37158044,15.89780679,17.16960767
0.952772074,0.3558,14.4824,0.09568,12.02467024,12.775893,13.56708289,14.4824,15.43657251,15.96487042,17.24223836
0.985626283,0.3481,14.5422,0.09559,12.07814509,12.83097989,13.62417465,14.5422,15.49963338,16.02992608,17.31266464
1.018480492,0.3406,14.6003,0.09551,12.1299448,12.88438928,13.67958128,14.6003,15.56097252,16.09324551,17.38131322
1.051334703,0.3333,14.6566,0.09543,12.18022653,12.93620326,13.73330236,14.6566,15.62038171,16.15455875,17.44775979
1.084188912,0.3262,14.7112,0.09535,12.229072,12.98650923,13.78543121,14.7112,15.6779677,16.21397615,17.51212296
1.117043121,0.3192,14.7642,0.09527,12.27658434,13.03540491,13.83606411,14.7642,15.73384035,16.27161562,17.57454756
1.149897331,0.3124,14.8157,0.0952,12.32257874,13.08279331,13.88519593,14.8157,15.78820764,16.32774409,17.63544035
1.18275154,0.3058,14.8657,0.09513,12.36729842,13.12884711,13.93292135,14.8657,15.84096608,16.38219881,17.6944897
1.215605749,0.2993,14.9142,0.09506,12.41076368,13.17357593,13.97924303,14.9142,15.89211898,16.4349875,17.75172164
1.248459959,0.2929,14.9614,0.09499,12.45313999,13.21715584,14.02434816,14.9614,15.94187956,16.48633069,17.80737409
1.281314168,0.2867,15.0073,0.09492,12.49440515,13.25957603,14.06823355,15.0073,15.99024475,16.53622076,17.86142026
1.314168377,0.2806,15.052,0.09485,12.53466292,13.3009346,14.11099566,15.052,16.03732439,16.5847757,17.91400554
1.347022588,0.2747,15.0955,0.09479,12.57364254,13.34104392,14.15253415,15.0955,16.083222,16.63215571,17.96542512
1.379876797,0.2688,15.138,0.09472,12.61204942,13.38045425,14.19323632,15.138,16.12794428,16.67826158,18.01532743
1.412731006,0.263,15.1794,0.09466,12.64928051,13.41871238,14.23281072,15.1794,16.17159513,16.72331174,18.06421206
1.445585216,0.2574,15.2198,0.0946,12.68564579,13.45607289,14.27144512,15.2198,16.21417133,16.76724078,18.11184873
1.478439425,0.2519,15.2591,0.09454,12.72108272,13.49245731,14.30904857,15.2591,16.25556963,16.80994636,18.15814515
1.511293634,0.2464,15.2974,0.09448,12.75569544,13.52796403,14.34571764,15.2974,16.29589988,16.85154654,18.20324734
1.544147844,0.2411,15.3347,0.09442,12.78944066,13.56257206,14.38144623,15.3347,16.33515568,16.89202574,18.24710095
1.577002053,0.2358,15.3709,0.09436,12.82227717,13.59621325,14.41614635,15.3709,16.37323707,16.93128955,18.28964123
1.609856263,0.2306,15.4063,0.09431,12.85418125,13.62896263,14.4499973,15.4063,16.41056953,16.96983267,18.33152914
